Title,Author,Runtime,Price,Language,Release Date,Rating
Easy & Delicious Keto Recipes for Beginners,Alicia Jordan,7 hrs and 13 mins,$19.95,English,04-02-25,5
Merchant of Rebellion,Bruce Sentar,15 hrs and 55 mins,$24.95,English,04-09-25,5
The Haunting of Georgia Manor,Marie Wilkens,6 hrs and 43 mins,$19.95,English,04-15-25,Not rated yet
I Wish Someone Had Told Me . . .,Dana Perino,7 hrs and 14 mins,$21.59,English,04-22-25,Not rated yet
The Succubi,Apollos Thorne,14 hrs and 28 mins,$33.90,English,04-22-25,Not rated yet
"Love, Lies, and Secrets",Yana Feldman,1 hr and 31 mins,$6.95,English,04-09-25,Not rated yet
Whispers and Wildfire,Claire Kingsley,10 hrs and 23 mins,$24.95,English,04-10-25,4.5
Uptown Girl,Christie Brinkley,14 hrs and 31 mins,$25.19,English,04-29-25,Not rated yet
How Countries Go Broke,Ray Dalio,9 hrs,$19.49,English,06-03-25,Not rated yet
La Vie de Guinevere,Paula Lafferty,16 hrs and 16 mins,$20.91,English,04-18-25,Not rated yet
The Widow,John Grisham,11 hrs and 30 mins,$22.50,English,10-21-25,Not rated yet
Rewrite My Heart,Mona Zughbi,1 hr and 47 mins,$6.95,English,04-10-25,Not rated yet
Uncommon Favor,Dawn Staley,8 hrs,$18.74,English,05-20-25,Not rated yet
Original Sin,"Jake Tapper, Alex Thompson",8 hrs and 52 mins,$19.80,English,05-20-25,Not rated yet
"Lanagan, Amateur Detective",Edward H. Hurlbut,6 hrs and 27 mins,$19.95,English,04-09-25,Not rated yet
Bridesmaid by Chance,Meghan Quinn,14 hrs and 38 mins,$24.95,English,04-15-25,5
Star Wars: Master of Evil,Adam Christopher,13 hrs,$23.40,English,11-11-25,Not rated yet
Events Cowles: Resident Skeptic Current,Brandi Boatwright,1 hr and 26 mins,$6.95,English,04-14-25,Not rated yet
Bog Standard Isekai: Nightmares,Miles English,21 hrs and 23 mins,$29.95,English,03-31-25,5
The Proving Ground,Michael Connelly,12 hrs,$21.83,English,10-21-25,Not rated yet
The Secret of Secrets,Dan Brown,20 hrs,$29.25,English,09-09-25,Not rated yet
The Seven Rings,Nora Roberts,14 hrs and 30 mins,$24.74,English,11-18-25,Not rated yet
The Beast of Littleton Woods,T E Kinsey,8 hrs and 26 mins,$25.19,English,05-06-25,Not rated yet
Onyx Storm (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,9 hrs,$20.00,English,05-07-25,Not rated yet
Spring's Descent,C.L. Briar,10 hrs and 48 mins,$24.95,English,04-18-25,5
The Devils,Joe Abercrombie,25 hrs and 6 mins,$33.74,English,05-13-25,Not rated yet
A New Home,Bainin,16 hrs and 29 mins,$54.99,English,04-15-25,5
All the Way to the River,Elizabeth Gilbert,13 hrs,$23.40,English,09-09-25,Not rated yet
Never Flinch,Stephen King,20 hrs,$26.24,English,05-27-25,Not rated yet
Justice in the Keys: A Logan Dodge Adventure,Matthew Rief,7 hrs and 6 mins,$19.95,English,04-17-25,Not rated yet
Casanova LLC,Julia Whelan,9 hrs and 40 mins,$19.59,English,04-18-25,Not rated yet
Caught Up,Navessa Allen,Not Yet Known,$48.99,English,06-10-25,Not rated yet
"Heretical Fishing 4: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,21 hrs and 6 mins,$59.99,English,08-26-25,Not rated yet
Veil of Shadows,Krista Street,10 hrs and 55 mins,$24.95,English,04-18-25,Not rated yet
Odin's Fury,Peter Gibbons,10 hrs and 59 mins,$24.95,English,04-17-25,Not rated yet
The Golden,Shawna Williams,4 hrs and 9 mins,$14.95,English,04-07-25,Not rated yet
Secret Sister,Sarah A. Denzil,8 hrs and 48 mins,$21.81,English,04-07-25,4.5
The Complete Keto Meal Prep Cookbook for Beginners,Keira Davies,7 hrs and 31 mins,$19.95,English,03-24-25,5
The Ultimate Money Making Mindset,PABLO SANCHEZ,3 hrs and 22 mins,$14.95,English,02-05-25,Not rated yet
Marauder,Seth Ring,13 hrs and 30 mins,$20.73,English,04-29-25,Not rated yet
25 Alive,"James Patterson, Maxine Paetro",6 hrs and 40 mins,$19.49,English,04-28-25,Not rated yet
The Hallmarked Man,Robert Galbraith,32 hrs,$38.99,English,09-02-25,Not rated yet
King of Envy,Ana Huang,16 hrs and 19 mins,$13.90,English,04-29-25,Not rated yet
Estate Planning Made Easy,Emma Maxwell,3 hrs and 27 mins,$14.95,English,04-18-25,5
Big Dumb Eyes,Nate Bargatze,6 hrs and 56 mins,$19.49,English,05-06-25,Not rated yet
The Lost Bloodline 2,M. Tress,10 hrs,$48.99,English,04-15-25,5
The Anguish of the Scottish Lairds,Keira Montclair,8 hrs and 7 mins,$16.99,English,04-17-25,Not rated yet
Exit Strategy,"Lee Child, Andrew Child",12 hrs,$22.50,English,11-04-25,Not rated yet
Dead End,Annabel Chase,8 hrs and 58 mins,$19.95,English,04-15-25,5
Not Catching Love,Saxon James,7 hrs and 6 mins,$19.95,English,04-16-25,4.5
A Mutual Accord,Caroline Cartier,12 hrs and 5 mins,$24.95,English,04-18-25,Not rated yet
Ghostsong,pirateaba,21 hrs and 39 mins,$59.99,English,05-13-25,Not rated yet
The Shattering Peace,John Scalzi,Not Yet Known,$29.95,English,09-16-25,Not rated yet
The Unquiet Grave,Dervla McTiernan,11 hrs and 58 mins,$19.09,English,04-30-25,Not rated yet
Keto Cooking Made Easy,Saiful Islam,1 hr and 49 mins,$6.95,English,12-09-24,5
Historic Wonders to Explore,SOPHIA DAVIS,4 hrs and 6 mins,$14.95,English,03-07-25,Not rated yet
